id,loopAbbrv,vesselCode,vesselName,voy,protName,uvrn,arrDtlocAct,depDtlocAct,arrDtlocCos,depDtlocCos
1,AWE7,NDU,APL BOSTON,0XR29E1MA/0XR2AW1MA,Singapore,,2023-03-29 22:32,2023-03-31 07:05,,
2,,NDU,,,Yantian,,2023-04-10 17:31,2023-04-11 08:45,,
3,,NDU,,,Ningbo,,2023-04-13 08:08,2023-04-14 06:28,,
4,,NDU,,,Shanghai,,2023-04-15 07:54,2023-04-16 00:59,,
5,,NDU,,,Busan,,2023-04-18 18:00,2023-04-20 00:18,,
6,,NDU,,,Panama Canal,,2023-05-12 05:00,2023-05-12 14:42,,
7,,NDU,,,Norfolk,,2023-05-17 16:47,2023-05-18 06:47,,
8,,NDU,,,Savannah,,2023-05-20 11:06,2023-05-22 00:09,,
9,,NDU,,,Charleston,,2023-05-23 03:56,2023-05-24 08:08,,
10,,NDU,,,Miami,,2023-05-25 14:58,2023-05-27 11:19,,
11,,NDU,,,Suez Canal,,2023-06-11 06:45,2023-06-11 15:50,,
12,,NDU,,,Shekou,,,,2023-06-29 01:30,2023-06-30 02:30
13,,NDU,,,Xiamen,,,,2023-07-01 02:00,2023-07-01 22:00
14,,NDU,,,Shanghai,,,,2023-07-03 02:00,2023-07-04 22:00
15,,NDU,,,Yantian,,,,,
